airline_name,overall_rating,verified,aircraft,type_of_traveller,seat_type,seat_comfort,cabin_staff_service,food_beverages,ground_service,inflight_entertainment,wifi_connectivity,value_for_money,recommended,time_before_review,departure_place,arrival_place,delay_cancellation,review_date
Aegean Airlines,1.0,True,Others,Family Leisure,Economy Class,2.0,1.0,1.0,1.0,2.15,1.81,1.0,no,1 month,Barcelona,Athens,False,2023-08-01
Aegean Airlines,2.0,False,Unknown,Couple Leisure,Economy Class,3.0,3.0,2.0,1.0,2.15,1.81,1.0,no,+3 months,Athen,Frankfurt,False,2023-07-01
Aegean Airlines,1.0,True,Unknown,Family Leisure,Economy Class,2.0,1.0,1.0,1.0,4.0,2.0,1.0,no,1 month,Heraklion,Istanbul,True,2023-07-01
Aegean Airlines,1.0,True,Unknown,Couple Leisure,Economy Class,3.0,1.0,3.0,1.0,2.15,1.81,1.0,no,1 month,Stockholm,Cairo,True,2023-07-01
Aegean Airlines,4.0,True,Unknown,Family Leisure,Economy Class,2.0,3.0,3.0,2.0,1.0,1.81,2.0,yes,2-3 months,Athens,Brussels ,False,2023-07-01
Aegean Airlines,4.0,True,Unknown,Couple Leisure,Premium Economy,3.0,2.0,2.56,2.0,2.15,1.81,2.0,no,1 month,Athens,Mykonos,False,2023-07-01
Aegean Airlines,1.0,False,Unknown,Couple Leisure,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,1 month,Barcelona,Athens,False,2023-07-01
Aegean Airlines,1.0,False,Unknown,Couple Leisure,Business Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,1 month,Santorini,Florence,False,2023-07-01
Aegean Airlines,1.0,False,Unknown,Couple Leisure,Economy Class,3.0,3.0,1.0,1.0,2.15,1.81,2.0,no,1 month,Athens,Chania,True,2023-07-01
Aegean Airlines,1.0,True,Unknown,Couple Leisure,Economy Class,3.0,3.0,2.56,5.0,2.15,1.81,5.0,yes,1 month,Santorini,Tel Aviv,True,2023-07-01
Aegean Airlines,8.0,True,A320,Business,Business Class,3.0,4.0,4.0,3.0,2.15,1.81,4.0,yes,1 month,Munich,Athens,False,2023-07-01
Aegean Airlines,4.0,True,Unknown,Business,Economy Class,2.0,4.0,3.0,1.0,2.15,1.81,2.0,no,1 month,London,Athens,True,2023-07-01
Aegean Airlines,1.0,False,Unknown,Business,Business Class,5.0,5.0,5.0,1.0,2.15,1.81,1.0,no,1 month,Athens,Mitilini,False,2023-07-01
Aegean Airlines,6.0,True,A321,Couple Leisure,Economy Class,4.0,3.0,2.0,4.0,2.15,1.0,5.0,yes,1 month,Athens,London Heathrow,False,2023-07-01
Aegean Airlines,1.0,True,Unknown,Solo Leisure,Economy Class,1.0,1.0,2.56,1.0,2.15,1.81,1.0,no,1 month,Cairo,Athens,False,2023-07-01
Aegean Airlines,2.0,True,Unknown,Couple Leisure,Economy Class,1.0,2.0,1.0,1.0,2.15,1.81,3.0,no,1 month,Malaga,Athens,True,2023-06-01
Aegean Airlines,9.0,True,A320,Couple Leisure,Economy Class,5.0,5.0,5.0,4.0,2.15,1.81,5.0,yes,1 month,Sofia,Larnaca,False,2023-06-01
Aegean Airlines,9.0,True,Others,Couple Leisure,Business Class,5.0,5.0,5.0,5.0,2.15,1.81,5.0,yes,1 month,Rhodes,Athens,True,2023-05-01
Aegean Airlines,1.0,True,Unknown,Family Leisure,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,1 month,Rome,Athens,False,2023-05-01
Aegean Airlines,1.0,False,Unknown,Business,Economy Class,1.0,1.0,1.0,1.0,2.15,1.81,1.0,no,1 month,Mytilini,Athens,False,2023-05-01
Aegean Airlines,8.0,True,Others,Couple Leisure,Economy Class,4.0,5.0,3.0,5.0,2.15,1.81,5.0,yes,1 month,Tirana,Athens,True,2023-04-01
Aegean Airlines,1.0,True,Others,Solo Leisure,Economy Class,5.0,5.0,5.0,5.0,3.0,4.0,5.0,yes,1 month,Prague,Cairo,False,2023-04-01
Aegean Airlines,9.0,True,Others,Solo Leisure,Economy Class,4.0,5.0,5.0,4.0,2.15,4.0,4.0,yes,1 month,Athens,London,False,2023-04-01
Aegean Airlines,1.0,True,Unknown,Solo Leisure,Economy Class,1.0,1.0,1.0,1.0,2.15,1.81,1.0,no,1 month,Belgrade,Marrakech,False,2023-04-01
Aegean Airlines,1.0,True,Unknown,Solo Leisure,Economy Class,3.0,3.0,2.0,1.0,2.15,1.81,2.0,no,1 month,Corfu,Athens,True,2023-04-01
